Symbol,11/6/2025 16:00:00,11/7/2025 16:00:00,11/10/2025 16:00:00,11/11/2025 16:00:00,11/12/2025 16:00:00,11/13/2025 16:00:00,11/14/2025 16:00:00,11/17/2025 16:00:00,11/18/2025 16:00:00,11/19/2025 16:00:00,11/20/2025 16:00:00,11/21/2025 16:00:00,11/24/2025 16:00:00,11/25/2025 16:00:00,11/26/2025 16:00:00,12/2/2025 16:00:00,12/3/2025 16:00:00,12/4/2025 16:00:00,12/5/2025 16:00:00
VMM,1.31,1.3,1.38,1.38,1.45,1.33,1.35,1.38,1.32,1.35,1.37,1.26,1.34,1.4,0.98,1.03,1.12,1.17,1.17
NH,1819.9,1810.4,1812.3,1758.8,1759.2,1777.1,1753.5,2008.2,1951.7,1991.2,2017,2043.2,1975.8,1957.3,1967.1,1951.2,1945.5,1910.6,1910.3,1955.2,1937.6,1916.9
JSWHL,16653,17042,17019,16698,16786,16721,17192,17944,17593,17239,17729,17324,18147,18569,19334,19822,20228,21125,22165,22085,21025,20280
JUBLINGREA,664.4,654.8,663.7,665.45,673.9,681.5,683,718.25,706.2,713.7,724.25,719.75,708.65,725,729,711.95,708.05,703.55,703.05,702.7,688.4,687.3
INDUSINDBK,786.2,797.25,799.35,826.1,864.4,863.45,848.25,854.05,847.95,839.6,829.4,846.55,836.05,839.9,850.7,857.45,858.55,847.15,850.3,846.9,863,870.1
GRAVITA,1703.8,1710.8,1730,1735.8,1736.9,1718.5,1742.2,1759.7,1729.1,1702.4,1701.6,1704.2,1831.9,1816.1,1851.9,1827.2,1823.3,1789.4,1776.8,1788.6,1800.3,1793.5
PATANJALI,573,578.9,580,582.5,588.3,590.45,587.8,586.9,587.05,582.9,584.25,579.3,569.75,569.35,569.65,569.45,568.15,569.25,563.35,555.15,528.75,550.8
NETWORK18,47.29,47.64,47.51,46.67,47.31,46.75,46.27,46.88,46.02,45.85,45.59,45.04,44.88,44.54,45.14,45.26,45.07,45.14,44.72,44.55,43.47,43.25
JSL,729.8,731.75,722.75,740.95,728.25,738.9,738.05,749.2,751,771.3,768.35,752.5,754.5,746.55,764.15,772.45,771.05,755,760.75,748.4,747.85,755.4
SAMMAANCAP,185.3,185.41,179.24,176.36,176.97,178.33,176.14,183.66,182.76,159.55,157.02,158.91,152.29,151.74,156.79,155.49,153.76,152.53,150,153.47,149.69,148.32
OBEROIRLTY,1780.4,1792.9,1787.2,1762.7,1738.7,1744.2,1752.4,1745.2,1710.4,1708.7,1708.5,1655.4,1607.1,1629.6,1662.8,1661.6,1647.2,1618.9,1632.6,1640.6,1663.7,1657.7
ITI,315.85,314.55,317.55,316.25,321.85,323,316.55,316.2,311.95,308.15,305.65,297.25,325.15,311.05,309.6,314.1,309.4,308.4,305.95,305.05,303,301.6
LODHA,1232.5,1226.6,1206.1,1221,1217.2,1217.6,1209.5,1220.3,1192,1202,1200.8,1176.8,1159.9,1160.2,1163.6,1156.6,1148.2,1128.2,1119.8,1103.9,1109.5,1111.6
ELGIEQUIP,483.4,479.15,474.45,486.5,491.8,500,501.5,514.7,504.9,504.55,507.55,492.75,495.85,480.5,498.65,498.55,510.5,500.15,505.95,506.5,491.45,500.8
CERA,6184.5,5997,5923.5,5819,5771.5,5686,5617,5620.5,5680,5651,5682,5584.5,5498,5467,5552,5558,5537,5501,5409.5,5486.5,5405,5344
LINDEINDIA,5843,5878.5,5839,5779.5,5801,5758,5743,5741,5695.5,6076.5,6125.5,5966.5,5894.5,5890,5908,6022.5,5966,5884.5,5793,5771,5800,5910
ASTERDM,687.25,692.9,681.65,677.65,681.35,673.15,678.1,679.1,681.05,662.6,665.3,650.2,667.85,660,665.45,665.65,665.45,669.65,664.9,655.45,653.25,635.1
PRAJIND,333.75,332.9,330.95,325.5,335.4,331.1,331.4,333.75,344.75,341.35,342.15,334.6,329.35,322.6,325.2,323.05,316.2,316.4,317.3,313.7,314.85,310.5
BIKAJI,726.45,717.45,707.4,722.3,716.25,707.5,711.95,714.5,721.6,719.85,721.05,712,707.45,705.5,710.5,713.45,717.15,715.35,700.65,697.8,712.4,716.8
APOLLOTYRE,505.8,515.4,522,520.4,532.35,536.9,518.7,514,522.8,522.65,519.25,512.4,528.15,522.05,521.45,518.95,514,516.35,519.25,535.2,530.6,521.45
ABSLAMC,770.35,763.2,753.85,737.15,737.05,751.2,733.95,748.4,736.9,739.1,744.9,734,716.95,725.7,730.85,729.9,735.35,735.15,727.4,723.15,727.5,726.5
AEGISLOG,766.6,761.35,769.6,780.05,799.7,801.8,791.95,796.95,790.9,788.35,777.55,765.2,762.2,766.55,761.5,760.7,763.65,767.45,774.05,769.3,761.35,740.95
POLYCAB,7591.5,7542,7608,7659.5,7680,7721,7632,7683,7661,7688,7648.5,7521,7427,7439,7539,7479,7470,7401,7347,7227,7348.5,7257
MANYAVAR,645.35,639.5,629.15,621.8,629.6,626.95,626.5,626.2,619.1,617.5,614.6,608.15,600.15,611.9,606.8,614.7,608.15,618.75,605.05,605.25,604.85,597.25
CHALET,929.15,915.85,903.65,892.85,907.1,888.4,884.05,870.95,875.35,885.95,899.9,896.8,882.3,881.9,876.7,896.05,886.4,897.1,879.95,911.2,897,898.45
